Category1;Value1;Value2
C;12.398620082836693;13.85896723634422
C;8.839666524317742;30.23327786726191
A;9.710070899245693;20.262375801766083
B;9.921847743097631;22.44013007855737
A;11.581704852631098;29.025887441291168
C;5.08153239863233;14.292290926386173
B;8.525929380992878;24.87069083465517
C;10.243695753786893;17.16568408299121
A;12.320165808496409;20.140899188311582
A;8.76700486023697;21.46981327499788
C;5.859239317312065;11.248557900594916
A;11.101394036528887;15.937559221667174
A;8.46573898346618;29.781973800685407
A;7.301700015910242;26.76024272580117
E;8.48887468160223;20.592842747372973
C;9.412496748922717;22.580302480333806
B;8.530036204469754;19.087423713363027
B;5.168311280091955;29.817792007881884
B;11.683839013462979;19.697708244337935
C;12.477237586685318;22.506973598876513
C;11.168196181812963;28.449195936923424
A;7.410860092107885;15.947085348501608
A;9.376867778710213;31.13212969922981
A;9.786305238018139;11.05200083666805
C;11.057468218080013;31.59267385223319
C;11.20351502630797;18.577608704312166
B;8.25823502256516;19.422458139135667
A;9.972190668468478;8.71493388731087
A;10.760288849692007;18.043834337044995
E;12.85722687650821;14.241257548325253
B;11.27946373363192;17.05029875507243
C;11.457019043488591;20.10747872237228
C;9.97603591865166;27.225645494073888
B;12.76196420492736;22.349421784104067
A;10.660501871514946;22.99989824710724
A;7.991715388635503;13.879123972503844
C;12.747076937262902;15.275098417582253
C;11.265596872331958;32.69171261928353
C;8.869607555630187;16.221193274038896
B;8.79306476846159;31.76535363837242
A;10.4228086447956;19.42010220727437
E;10.772688070061928;21.014871584932777
C;10.214313757825535;27.957373541494544
B;10.453748214230059;29.267300742601265
E;13.3699104866104;20.27971835818593
C;12.05024061969326;18.47642015211
B;10.200334741656551;20.636517084605615
C;11.776752219611716;23.196723933508768
D;7.631699802592168;26.79347396465341
C;10.6356468048883;21.027494083461985
A;13.599543334439533;25.022760937150498
B;9.342103619676015;31.649338259761116
E;8.019968749899922;23.4785124797211
B;8.430613333954573;23.02574356403106
B;7.511770621580985;11.127079636914559
B;8.151999992931824;3.900254110611087
B;9.02193299296094;23.524442239996095
C;6.848309259724852;20.38364249667433
E;9.832798501294167;17.653912613054178
B;11.69478206495196;22.58294632721124
A;7.893712021691468;20.607375760220098
A;12.990496239647715;28.330571629120342
D;10.87266338590795;21.559720643683356
C;11.96421922981052;16.144998647043913
B;8.418547436910513;27.436080553235378
D;11.594502976839895;19.588648012849685
D;7.506938809169844;24.422488443869995
D;11.669519751756669;17.896830409746798
E;10.160862613566417;16.776125244266662
B;10.961827561968047;21.547093496207026
C;7.331251328187812;21.08338618303395
B;7.920353331219131;24.118875729884415
D;11.054179258332109;19.253802603486672
C;7.808469191129179;9.063661405492418
C;10.77273321340816;18.186969756675474
C;6.929010606433485;26.1598200364348
A;11.581165846600005;19.06705548491981
B;7.211701038986131;19.398507883655437
E;10.959829869126999;27.41144728838859
E;11.113824960656602;16.372174022817003
A;8.336779181297894;10.971779081421152
A;11.022255790877928;19.955897723084288
A;10.346928753000467;17.852869316883208
C;8.66843210199525;14.71939892160385
D;7.682035163439964;19.86004003665851
A;5.678486047487585;24.194786707104093
B;10.534265099329357;20.939624349809197
D;6.513914180139684;22.995376972460544
C;10.000222818826748;32.78715004035025
B;9.246758746227277;18.771287399875835
B;11.226199828420212;22.80926612519035
B;9.165704451071285;17.690113143105627
B;9.108159648671108;15.498661820734675
B;11.336928479005422;17.198100252784496
C;10.503621861076647;17.888069285109026
D;10.463927510083835;23.336592684056317
C;10.785461938597905;36.26899261355492
C;6.575298541265079;16.345717664207037
A;11.389256227972663;18.291935513499492
B;11.086184467428566;20.589700414776885
A;7.664965429989357;23.572692516613355
B;9.287431005284178;22.7130802777061
C;9.717454695981976;29.34662266066276
E;9.517556752756361;5.228451541521146
A;10.501105929793923;5.484955843728127
B;12.805870241845486;17.77679188193403
D;12.07171012811294;28.132451219034106
A;7.044339693794047;10.823287794563624
B;11.106346979642703;1.4503897919905775
C;12.590759971024362;24.712666140424858
C;10.612297893447327;22.583771954067643
A;12.091058892890532;13.913645355803705
B;14.025767935971608;14.593992595313956
C;11.949790046824662;14.696665822374616
B;10.32354805084763;21.718479563580612
A;11.994685795577983;16.928950704810454
C;10.104264449503471;24.211415473340878
A;9.850196390898407;2.4449266911214593
C;9.062030105001162;15.430462876669305
A;13.083168053547428;13.680649254078173
E;8.081299801521798;19.3337855905788
B;13.017972221824044;17.5026895698141
B;10.849714659854781;26.185984569322482
A;6.861457032915924;8.914310984209626
B;10.572063515281986;21.29569459614989
D;5.38994433393159;24.629186750876087
E;11.113566835345175;33.068208337652706
B;11.658986114276882;17.868521187892412
B;8.556052493130688;23.10898092829136
C;10.059450161506724;9.274891848344629
D;13.903730610875602;5.452284671965344
B;8.737931921049933;26.49103344258105
B;7.57629406718114;20.96385809128754
B;12.911493145171459;28.66033248368975
C;13.921433100114669;12.07288122169663
A;9.80776091088048;24.37936390693689
C;11.924072374357548;33.14731596353505
B;12.617099422614851;23.728086454322227
C;8.240783111669394;22.797779786341817
A;8.780857745727477;21.055614525358273
B;12.384836477624944;10.78927052868157
B;13.33852998528787;29.811224082117263
C;10.982049806366145;17.02942534126707
A;7.952389857645686;24.27914116648961
B;13.972828334568828;10.840277007286852
B;8.684961114594875;13.333512180699428
B;9.096210659539953;30.32806809494453
C;10.518909452428206;18.742535121774022
C;13.063736883501026;30.44629059427654
D;11.59334955075967;20.491500716119635
B;10.671217550760012;9.027664475773927
D;10.772905913248024;26.798439398256185
B;9.891380804151279;17.16569993458855
A;10.972092980488863;25.541477287860783
A;4.487923836841964;21.163870639010533
B;9.177124335953424;10.969731518371344
C;10.306776063325241;22.0679159749087
C;7.3828704243990355;35.27545042399319
C;10.611278967404276;24.204411980343984
B;9.370610435929146;20.62613460546449
B;13.48649896646253;27.989732112719835
A;13.1033414229512;22.36934502382022
B;8.821808304851858;22.361972496708162
B;9.48324080570994;13.904436380965834
A;9.644710112222377;22.52001216763239
B;8.851515100064793;27.73038220671014
B;10.209552466459067;15.56559601134984
C;8.207607655336062;30.25922283810516
E;7.425707796631196;20.403910843056682
E;11.107693570190564;15.229498174999485
C;11.122012126865803;27.48460849998159
B;8.110936904714016;19.13583746770125
C;11.68024640460146;25.936846768659702
C;8.473686768752804;19.103568890319508
A;10.33164699987976;20.611130067055626
B;11.522722426486158;24.208141328172896
D;9.729413614122203;22.890830874335037
B;10.754955915496383;8.0290434270637
B;8.7154977478361;13.711915689386453
B;9.387420174800997;27.0411649011403
A;9.367695195151287;20.14111217213994
B;8.232185472265499;17.59574653198576
B;9.428774257456858;12.169268900826417
A;6.547901572386133;13.981713911706986
A;8.768577131001582;7.858308840247341
D;9.201761463923692;20.341675328440036
B;9.262022519759702;17.110155726223194
B;9.292855363671364;14.717178708595451
B;9.67029518029373;20.557197736408305
E;10.806827187980735;23.365809100542798
B;11.636485855678298;34.605786559364645
B;8.43549302361864;11.172757772839113
D;7.273278203682797;28.535976781453392
D;7.611706734289484;27.325160146597966
A;8.776873865490654;15.935897194051446
D;9.060965232585332;22.321033704809203
B;8.183008260985341;18.0253838793055
B;7.078155005075223;22.206975772721805
A;8.842146262304205;30.809351587129576
A;10.18099590223934;24.936440512103534
C;11.049561878254687;24.305954426017372
B;8.629411588472527;18.202989420294823
B;8.932704573498789;11.353631677991821
C;7.853933551420648;19.64495663148735
C;9.73397774221297;28.84295300661545
A;8.01829986819929;11.07340893216729
C;11.00356840780652;14.141919106851482
A;6.049680366938367;21.820740285521442
C;9.04477768784983;14.599743898492793
C;10.432325412302658;15.84859759375112
